mint,sources,protocols,symbol,name,decimals,is_verified,pool_count,sample_pools
5SS6LfEct5MXqCn82RJnbuzMpTB3qGnswEN7NdUfpump,pump_program_sell,pumpfun,,,6,false,1,E6rQ2pRz6izJDqXHeR8AVPYM5iupr2eJbUMDAab5Eh9g
5XxzdkgNsW2gDLctvPQUyFn7MvHYNy92ZsJJfE6qpump,pump_program_create_v2,pumpfun,DSD,dsds,6,false,1,EpiS18Yivy6aZVfBqSaPRwNE2SRasuRiuifC5Bim9d4t
5y6XzM26p1H7kJfTghB94BwgHWXZPPF6bhNTHRRtpump,pump_program_sell,pumpfun,,,6,false,1,FETuzfBjG7Dbaff6dRPPXwKtfV9Fcsth7uvMH3yEH4ut
5ydAdoEqh4cbKj2eQq96BAomGwRcjZ3tirEo6b4pump,pump_program_sell,pumpfun,,,6,false,1,3LtXz6upP6xwEimsRPqrZ7B8wHtMjhVriNa1ZetQnA4m
5yXWJUXsJjUjVi6pyxSPK52cPpz8g7kQNiazAriEpump,pump_program_sell,pumpfun,,,6,false,2,6WDJTsgihp4oYxcfbFT6ayZCnUMDfwKW4XQhT54XPieV
63RTM5ujXc9vbYEcv5SdNxKJ1WRVBLNoTkZhHEQDpump,pumpportal_ws,pumpfun,Akyo,うまはにわ,0,,0,
65TGmjgstg1yW576VcqaCkSEoBt9p9c5PMtjgLS9pump,pumpportal_ws,pumpfun,SMOKE,SMOKE,0,,0,
66aaSbXpD6BsvHPSXYhDSU6NauPMW8HxcdTCRq5fpump,pumpportal_ws,pumpfun,Akyo,うまはにわ,0,,0,
66XxhV7wXCx6pZANk9vkAzK3S7ZYfNMS2uJStEdqpump,pump_program_sell,pumpfun,,,6,false,1,7pQyh8Zr4q7QzFYXgFKZVnJLE7RpLkt4BE7GYxDn5dJa
6AC4a1AN6yEYpg7uEG27KZ7Xix1g55WXCkoMN5ztpump,pump_program_sell,pumpfun,,,6,false,10,CKRcjNkDENeecf8cjP92CmfLgXSRP7Rm3VRQ9QfTcspu
6ADDirubTFP98aB9sA5Pp9YhSohXEZD91xsYzGRUZoXu,pump_program_buy|pump_program_sell,pumpfun,,,6,false,72,AB3XCc51NPWmqw8KNYTKaK92CVqBB1GQ5HxaXMp1PKT8
6AMMuo29otZxKBaiWZoob9H22y7Bi1YNHhbZsMdrWyUW,pump_program_sell,pumpfun,,,6,false,2,AGdsfpsWnL9byQs8AoqjEntUGZ1gXSWPQDc9BzJFjhB4
6bJ1SzDvvF16iuGVAgdZFQAzbFk98wdxHGbdMQThpump,pump_program_sell,pumpfun,,,6,false,1,CEf38REhJuQqu46iZb8cGknrevegg4VKHiv6ri28Cspj
6Bxp8eYucgwz73CxoFVu2YJFsWe1zaGYSt7QkVUGpump,pump_program_sell,pumpfun,,,6,false,1,9mX8zK2L83PvdAL4VMntxWwfwkx9JgUo1nzi3S2aNWyN
6D62mTBDifQM49tzWooi2xVaHLNd4mB9rKj68capump,pump_program_sell,pumpfun,,,6,false,1,9Vm7CxtuqYVN9irtCFhqWJ5tYajgCTy7RnDnuu2HDDCe
6EWmrN18mhmQoJszTwcHbsE8gmvvWd7YcaJF1xwhpump,pumpportal_ws,pumpfun,UNPROFITABLE,Unprofitable,0,,0,
6FvcPXNH1FBtRUpeV5m1Ks5K147tDquMZw1Sqkkepump,pump_program_sell,pumpfun,,,6,false,1,6JrtCZ3Z95QeWTbCqEzYcZ65NJvmCGAruisVTTcubE7m
6gqNhboTgmnYcgDGPwhJLtojRwz5piFEd23bFZugpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,drink,drink,6,false,18,84FLgdV9AmTYjw4h9NZEb2cowXfN5gydxJU3YKyEnTf3
6GX8JEJFFhGTLix4MZepQ2uug3arpJGMDHLF2m4cpump,pump_program_sell,pumpfun,,,6,false,1,4jZwYS3WJ9xjB9tGKFzgZioCR61tEjpKPZbay4Fmtxb4
6hZhNwxtemywb17QFXDnFZ77dWE6XfE5NT9Si3Qipump,pump_program_sell,pumpfun,,,6,false,1,8iu8pv5nrVyqKMMPbxM4mEWmGsGKoRrhucCwxdSAxskh
